City,metro_black,police_per_1k,offenses_per_1k,median_income,multi_resid
New York,15.80719,6.133632659,40.86835756,77003,3.1932264797890992
Los Angeles,6.4486,3.22849533,65.62208340000001,71074,0.7388778211821023
Chicago,16.3276,5.180293408,83.91516323,74605,1.9498586218357836
Dallas,15.78827,2.628324397,80.42261636,73537,-0.522734973446715
Houston,17.03209,2.66869541,100.7221427,70362,-0.6241509806551302
Washington,25.07391,6.43457588,104.2230463,108625,1.7951116988977605
Miami,20.32081,3.680395394,83.89441218,56534,0.6615253951799387
Philadelphia,20.54679,4.641707564,80.38232647,75330,1.1971649872700874
Atlanta,34.120940000000004,4.005192439,108.6461361,69612,-0.2331521851561451
Boston,7.88868,3.908313696,52.77591039,89184,1.0138979113178173
Phoenix,5.3792300000000015,2.360442326,84.64563119,67192,-0.12255786162721094
San Francisco,7.1958,3.275676332,124.8242965,104194,-0.4664293817833385
Riverside,7.0998800000000015,1.576934464,72.19157639,61903,-0.7812286101442074
Detroit,22.11219,4.497411642,127.5229973,64665,0.8706325056382318
Seattle,5.9927199999999985,2.630732176,116.7336915,88843,-0.6287102132761446
Minneapolis,8.68224,2.421420582,94.25560581,84210,-0.7056199780892793
San Diego,4.70293,1.623395835,45.7634729,79436,-0.8224806894800587
Tampa,11.7893,3.069131812,41.70812709,59054,0.7550418687683447
Denver,5.51607,2.530714747,88.19762884,84176,-0.3831317711928808
St. Louis,18.32751,5.239918534,154.85784109999997,67295,1.5496100799552828
Baltimore,29.21593,4.847746087,126.8044847,84710,0.38140693178117946
Orlando,15.72926,3.292881585,112.26144920000002,59050,0.24821223603307807
Charlotte,22.5724,2.514939838,81.7699077,64840,-0.8016755610712964
San Antonio,6.55463,1.943055671,92.53128638,63562,-0.5755927884091536
Portland,2.99841,1.790767733,119.59346380000001,76453,-1.0415243415080964
Sacramento,6.99558,1.869686039,74.23126912,76325,-0.8354347133947295
Pittsburgh,8.38897,3.3019990480000003,72.23412132,65487,0.7914556199701313
Las Vegas,11.66744,2.757861578,68.91734929,61465,0.1924465925025567
Cincinnati,12.5336,3.864852692,107.59988340000001,67953,0.8155350902041314
Austin,7.06636,2.488328895,76.85463721,82689,-0.38882969225019925
Kansas City,12.34711,3.688794703,118.3740101,71299,0.4913337956475301
Columbus,15.86497,2.526395511,80.50406912,69797,-0.5418339551042011
Cleveland,19.75577,4.354426957,117.6527169,63186,0.9600053313485262
Indianapolis,15.38647,3.592818465,108.3007439,66761,0.4152156301931389
San Jose,2.31238,1.479989115,57.78163954,108333,-1.6043205920493553
Nashville,15.2509,2.559388893,102.5780344,68340,-0.605624443136437
Virginia Beach,30.308840000000004,2.113077355,36.89348804,71665,-1.4405119860778481
Providence,5.50422,2.802923921,72.18777925,69947,0.3410587226043451
Milwaukee,16.37979,3.869923559,88.11169556,69522,0.7245781506478233
Jacksonville,21.27874,3.356904739,78.67690124,64783,0.13297855897955646
Oklahoma City,10.44116,2.116593357,98.00041658,66182,-0.7095107731895087
Memphis,47.28525,3.994014345,167.4174289,58853,-1.1242976933321955
Richmond,29.60238,3.657682656,87.17549483,76436,-0.3422606480980135
New Orleans,34.9014,3.67582132,114.40710039999999,58992,-0.39802439461824335
Salt Lake City,1.68453,2.87712268,138.2992898,71932,0.08168812326176011
Hartford,10.8507,3.452000942,93.94315976,84411,0.20780853093220975
Birmingham,29.01968,4.639919454,165.1991793,61110,0.451899914422639
Buffalo,11.96397,3.76811931,97.76584992,64665,0.8986470502825021
Rochester,11.00159,4.15501129,83.7116817,66157,1.4055814934671735
Grand Rapids,6.50623,1.671423154,51.50477977,64906,-0.5724722231934181
Tucson,3.38917,1.8887516,114.10664840000001,62694,-0.6017413828070461
Fresno,4.63908,1.998804102,78.49301829,57159,-0.16478241626924928
Tulsa,8.166960000000001,2.448238484,130.4660583,61290,-0.38334062789582024
Honolulu,2.55367,2.478567115,64.08429979,80998,-0.025694543710677475
Worcester,4.37646,2.658603132,56.44295014,72729,0.3078675440979448
Bridgeport,10.97441,3.030942862,51.5737064,101381,-0.303214005597809
Omaha,7.63152,2.164691244,80.71571170000001,73201,-0.5489946903529104
Greenville,16.47206,2.488335925,62.85193329,56709,-0.17520627290097224
Bakersfield,5.20605,1.3926023509999998,94.03048165,55584,-0.8791362508758453
Knoxville,5.7260800000000005,2.660970141,109.60334579999999,59712,0.14988815790788923
Albany,8.10321,4.10894815,80.96865401,77340,1.271600832939034
McAllen,0.41366,2.957821602,55.15956305,35102,1.7065385884505437
New Haven,12.82783,3.506605377,94.90703684,77193,0.31949789693176633
Oxnard,1.7663400000000002,1.686053925,55.50754001,86445,-0.8404887450619509
El Paso,3.04948,1.94787651,37.56888743,44856,0.45910286692459357
Allentown,5.24835,1.905653713,53.18580945,68491,-0.36797752163536845
Columbia,33.580690000000004,3.3997304180000003,116.1225101,62253,-0.6932009077511077
Baton Rouge,35.80084,3.536634192,125.5260465,63944,-0.7829478992566639
North Port,6.34052,2.068496794,38.50359032,67975,-0.1422031831431414
Dayton,15.70595,3.026539324,109.01252020000001,63557,-0.09828623842689499
Charleston,25.45138,3.749307035,47.66142444,69677,0.4196047780698655
Greensboro,27.09952,2.662820749,73.36565541,56093,-0.6265624430033072
Cape Coral,8.08365,1.6554088219999998,31.6071305,64089,-0.5055960685271714
Stockton,7.10653,2.142688355,103.9634945,61064,-0.43133983856523406
Little Rock,23.74093,3.51752238,160.1651881,61437,-0.36152183307462593
Colorado Springs,5.89061,2.111970522,78.24691589,72846,-0.48300466367997785
Boise,0.99011,1.640023554,46.07768303,64468,-0.2615286764094893
Lakeland,14.63188,3.202087287,68.93154284,52649,0.6859169239446579
Akron,12.38074,2.4027517830000003,90.08042895,64126,-0.4192892650561775
Ogden,1.1704,1.985938641,83.08984659999999,69472,-0.3161394024131876
Madison,4.49182,2.302141572,60.14973593,80472,-0.26326915601135337
Daytona Beach,10.29768,4.230044908,119.5277416,56253,1.4844876540893193
Syracuse,8.10021,3.409511699,76.06424973,66311,0.866627762456261
Wichita,7.30065,2.103511128,136.3325386,63726,-0.7826238670411563
Provo,0.5846,1.076398895,38.96224976,58522,-0.6119337184720555
Springfield,6.50024,3.557182351,72.60002964,64488,1.1672589306354646
Augusta,35.29057,3.185229175,73.20628408,62659,-0.6900743316301217
Toledo,14.59981,2.494336837,91.30145479,59234,-0.3397401196509997
Palm Bay,9.96198,1.851162955,44.57848399,62318,-0.46381892643376954
Durham,26.04847,2.341475531,78.26592002,75727,-1.3878582268399642
Harrisburg,10.20118,3.418316479,73.00547338,70981,0.677631909986141
Spokane,1.73237,1.878820651,157.6697125,63801,-0.872290966123731
Chattanooga,13.541720000000002,3.33154099,142.2418333,59763,0.16408248335968834
Scranton,3.47048,2.184331916,59.7479024,57361,0.2165965879632603
Raleigh,19.60977,1.8046922,0.0,76423,
Louisville,14.6111,2.255115432,0.0,62429,
Winston-Salem,17.76006,2.780040444,0.0,57049,
Des Moines,5.51106,1.329032643,0.0,75304,
